"date","conf","status1","s1"
"2013-03-31","","Normal value",2.0874
"2013-06-30","","Normal value",2.8241
"2013-09-30","","Normal value",2.9054
"2013-12-31","","Normal value",3.2659
"2014-03-31","","Normal value",2.9713
"2014-06-30","","Normal value",2.7389
"2014-09-30","","Normal value",2.7261
"2014-12-31","","Normal value",2.3503
"2015-03-31","","Normal value",2.0687
"2015-06-30","","Normal value",2.5411
"2015-09-30","","Normal value",2.0522
"2015-12-31","","Normal value",2.2272
"2016-03-31","","Normal value",1.6683
"2016-06-30","","Normal value",1.3836
"2016-09-30","","Normal value",1.4744
"2016-12-31","","Normal value",2.3753
"2017-03-31","","Normal value",2.4242
"2017-06-30","","Normal value",2.3169
"2017-09-30","","Normal value",2.3243
"2017-12-31","","Normal value",2.4166
"2018-03-31","","Normal value",2.8012
"2018-06-30","","Normal value",2.9594
"2018-09-30","","Normal value",3.1478
"2018-12-31","","Normal value",2.7385
"2019-03-31","","Normal value",2.4295
"2019-06-30","","Normal value",1.9848
"2019-09-30","","Normal value",1.5712
"2019-12-31","","Normal value",1.912
"2020-03-31","","Normal value",0.7149
"2020-06-30","","Normal value",0.6451
"2020-09-30","","Normal value",0.7179
"2020-12-31","","Normal value",0.9385
"2021-03-31","","Normal value",1.8297
"2021-06-30","","Normal value",1.4701
"2021-09-30","","Normal value",1.5345
"2022-03-31","","Normal value",2.4437
"2022-06-30","","Normal value",3.1155
"2022-09-30","","Normal value",3.8755
"2022-12-31","","Normal value",3.8374
"2023-03-31","","Normal value",3.4619
